Year,State,Vehicle_Category,Vehicle_Class,EV_Sales_Quantity
2014.0,Andaman & Nicobar Island,2-Wheelers,SCOOTER,0.0
2014.0,Andaman & Nicobar Island,3-Wheelers,RICKSHAW,0.0
2014.0,Andaman & Nicobar Island,4-Wheelers,CAR/CAB,0.0
2014.0,Andhra Pradesh,2-Wheelers,SCOOTER,7.0
2014.0,Andhra Pradesh,3-Wheelers,RICKSHAW,0.0
2014.0,Andhra Pradesh,4-Wheelers,CAR/CAB,5.0
2014.0,Arunachal Pradesh,2-Wheelers,SCOOTER,0.0
2014.0,Arunachal Pradesh,3-Wheelers,RICKSHAW,0.0
2014.0,Arunachal Pradesh,4-Wheelers,CAR/CAB,0.0
2014.0,Assam,2-Wheelers,SCOOTER,0.0
2014.0,Assam,3-Wheelers,RICKSHAW,0.0
2014.0,Assam,4-Wheelers,CAR/CAB,0.0
2014.0,Bihar,2-Wheelers,SCOOTER,6.0
2014.0,Bihar,3-Wheelers,RICKSHAW,1.0
2014.0,Bihar,4-Wheelers,CAR/CAB,2.0
2014.0,Chandigarh,2-Wheelers,SCOOTER,0.0
2014.0,Chandigarh,3-Wheelers,RICKSHAW,0.0
2014.0,Chandigarh,4-Wheelers,CAR/CAB,0.0
2014.0,Chhattisgarh,2-Wheelers,SCOOTER,118.0
2014.0,Chhattisgarh,3-Wheelers,RICKSHAW,0.0
2014.0,Chhattisgarh,4-Wheelers,CAR/CAB,2.0
2014.0,DNH and DD,2-Wheelers,SCOOTER,0.0
2014.0,DNH and DD,3-Wheelers,RICKSHAW,0.0
2014.0,DNH and DD,4-Wheelers,CAR/CAB,0.0
2014.0,Delhi,2-Wheelers,SCOOTER,23.0
2014.0,Delhi,3-Wheelers,RICKSHAW,0.0
2014.0,Delhi,4-Wheelers,CAR/CAB,24.0
2014.0,Goa,2-Wheelers,SCOOTER,8.0
2014.0,Goa,3-Wheelers,RICKSHAW,0.0
2014.0,Goa,4-Wheelers,CAR/CAB,1.0
2014.0,Gujarat,2-Wheelers,SCOOTER,33.0
2014.0,Gujarat,3-Wheelers,RICKSHAW,1.0
2014.0,Gujarat,4-Wheelers,CAR/CAB,2.0
2014.0,Haryana,2-Wheelers,SCOOTER,2.0
2014.0,Haryana,3-Wheelers,RICKSHAW,0.0
2014.0,Haryana,4-Wheelers,CAR/CAB,3.0
2014.0,Himachal Pradesh,2-Wheelers,SCOOTER,0.0
2014.0,Himachal Pradesh,3-Wheelers,RICKSHAW,0.0
2014.0,Himachal Pradesh,4-Wheelers,CAR/CAB,1.0
2014.0,Jammu and Kashmir,2-Wheelers,SCOOTER,0.0
2014.0,Jammu and Kashmir,3-Wheelers,RICKSHAW,0.0
2014.0,Jammu and Kashmir,4-Wheelers,CAR/CAB,3.0
2014.0,Jharkhand,2-Wheelers,SCOOTER,2.0
2014.0,Jharkhand,3-Wheelers,RICKSHAW,1.0
2014.0,Jharkhand,4-Wheelers,CAR/CAB,1.0
2014.0,Karnataka,2-Wheelers,SCOOTER,167.0
2014.0,Karnataka,3-Wheelers,RICKSHAW,4.0
2014.0,Karnataka,4-Wheelers,CAR/CAB,369.0
